timestamp,Temperature,Humidity,Soil_Moisture,Soil_pH
1756684800000,21.88582827,53.95560268,22.47978411,5.284388294
1756688400000,19.07956367,54.29895203,23.98031432,6.107887491
1756692000000,26.6758686,98.9912224,11.56631904,8.361576173
1756695600000,20.17006633,36.4164597,36.1445695,7.929765785
1756699200000,21.9157452,79.35562468,43.53254081,5.378418494
1756702800000,15.02138518,96.33045929,37.93072916,5.579343944
1756706400000,22.9462703,73.7103001,40.76731996,6.001308324
1756710000000,15.33792816,87.00562683,19.95596094,6.149443779
1756713600000,7.948809605,41.71854551,11.17783033,8.270204593
1756717200000,22.57290576,52.97977928,40.64787421,7.258345275
1756720800000,23.06644991,48.29955196,38.75265915,5.892802999
1756724400000,26.89197088,81.57501562,4.939448676,5.332705845
1756728000000,20.95994009,86.00698128,2.34938536,6.478668333
1756731600000,22.73135113,99.64228566,2.184220701,8.49700781
1756735200000,25.31961081,70.43870957,57.07317217,5.626593913
1756738800000,16.81391861,73.00535661,38.43204251,7.578802036
1756742400000,14.18896479,80.97187202,33.02587697,7.905202043
1756746000000,18.96147742,95.12443661,45.43643347,8.094816265
1756749600000,14.89675744,87.08023829,58.88162512,7.249116809
1756753200000,25.69317763,62.4988509,46.42226567,7.409660297
1756756800000,16.79040001,89.30128705,19.84573862,8.019319397
1756760400000,19.02416735,55.44030944,5.725834501,7.236942931
1756764000000,26.90820126,51.40202809,6.729762108,8.236934306
1756767600000,25.34949957,79.8624209,31.13973034,7.310701327
1756771200000,20.14025527,81.97299513,52.07282985,7.036781547
1756774800000,23.79191344,74.8379956,25.01475029,7.323461175
1756778400000,20.26306759,80.15806578,41.25652735,7.807104303
1756782000000,19.12712784,84.98849331,9.54213804,8.024069576
1756785600000,26.17333117,69.95256942,21.12865009,6.615716775
1756789200000,22.55847973,36.9832926,22.02770786,5.007820773
1756792800000,21.1594128,77.9894138,20.21041147,7.439468378
1756796400000,18.80176249,84.90363278,17.08774019,7.867904946
1756800000000,15.16729479,64.66705719,37.77198424,5.555451226
1756803600000,19.7054748,39.05760893,14.13682122,7.415566822
1756807200000,25.33927231,35.6165767,27.13732114,8.125694835
1756810800000,24.15138302,34.50715318,32.13855415,6.937103731
1756814400000,18.36243748,58.2881762,38.63258641,6.346678204
1756818000000,23.19753959,51.18562221,45.36312766,7.047362026
1756821600000,15.30544842,81.07028063,24.68064136,8.257624734
1756825200000,20.22102857,85.08336058,41.43270552,5.256343779
1756828800000,25.98201986,98.26756423,28.90749253,7.075428143
1756832400000,23.84783399,93.09902849,43.49601469,6.601073472
1756836000000,31.22565866,38.31904505,17.95419151,5.896897489
1756839600000,20.69761886,80.58667918,28.87887624,7.765937001
1756843200000,27.9992015,74.04162361,7.267144299,5.674583683
1756846800000,16.03209695,61.55543176,69.15954161,6.641292325
1756850400000,25.91729483,46.84193577,28.53817543,5.424703375
1756854000000,15.083541,88.71675427,31.29083898,7.227273962
1756857600000,21.36498274,84.72302782,41.69014904,5.512115763
1756861200000,24.55843802,31.35014376,14.36239945,6.286417014
1756864800000,8.632415495,48.85690679,54.69116666,5.272344766
1756868400000,16.55361302,78.04874063,32.46879115,6.795356293
1756872000000,18.70676909,92.13884566,31.69171365,5.680736152
1756875600000,22.56385409,37.47542608,33.31782148,7.862325466
1756879200000,18.86336839,52.4451075,27.95661089,7.824584351
1756882800000,13.77469925,61.44860044,19.51539854,8.248832455
1756886400000,22.24407579,94.45131148,26.42691616,8.013475677
1756890000000,10.15683011,31.82007174,22.00056401,8.251069269
1756893600000,28.65786523,62.12824627,32.87079874,5.075869683
1756897200000,14.78143243,75.4299063,20.30286981,7.934047593
1756900800000,17.82111779,68.35804269,30.45582198,6.381784789
1756904400000,16.70894043,40.70914899,13.32079025,7.546516448
1756908000000,19.87888758,88.93455721,24.95338221,5.65008837
